"participants","type","confidence","estimation","position_stim"
1,"few",1,22,1
2,"few",1,30,1
3,"few",1,47,1
4,"few",2,15,1
5,"few",1,20,1
6,"few",2,25,1
7,"few",1,23,1
8,"few",3,30,1
9,"few",2,58,1
10,"few",3,10,1
11,"few",2,36,1
12,"few",2,60,1
13,"few",2,25,1
14,"few",1,30,1
15,"few",2,40,1
16,"few",2,35,1
17,"few",2,37,1
18,"few",2,100,1
19,"few",2,32,1
20,"few",3,35,1
21,"few",1,22,1
22,"few",2,25,1
23,"few",2,18,1
24,"few",1,45,1
25,"few",3,25,1
26,"few",1,19,1
27,"few",2,30,1
28,"few",3,57,1
29,"few",2,30,1
30,"few",2,20,1
31,"few",2,30,1
32,"few",2,40,1
33,"few",1,30,1
34,"few",2,26,1
35,"few",2,20,1
36,"few",1,30,1
37,"few",3,30,1
38,"few",2,35,1
39,"few",3,24,1
40,"few",2,25,1
41,"few",1,25,1
42,"few",2,35,1
43,"few",1,100,1
44,"few",3,10,1
45,"few",2,22,1
46,"few",2,25,1
47,"few",1,25,1
48,"few",1,24,1
49,"few",2,20,1
50,"few",2,20,1
51,"few",2,30,1
52,"few",2,25,1
53,"few",1,26,1
54,"few",3,35,1
55,"few",1,27,1
56,"few",2,31,1
57,"few",2,30,1
58,"few",1,9,1
1,"morph",1,25,2
2,"morph",1,33,2
3,"morph",2,32,2
4,"morph",2,18,2
5,"morph",2,30,2
6,"morph",3,20,2
7,"morph",2,25,2
8,"morph",2,20,2
9,"morph",2,60,2
10,"morph",3,10,2
11,"morph",1,34,2
12,"morph",2,75,2
13,"morph",2,25,2
14,"morph",1,35,2
15,"morph",2,45,2
16,"morph",2,35,2
17,"morph",2,35,2
18,"morph",2,680,2
19,"morph",3,24,2
20,"morph",2,37,2
21,"morph",1,22,2
22,"morph",2,50,2
23,"morph",2,18,2
24,"morph",2,28,2
25,"morph",3,30,2
26,"morph",1,32,2
27,"morph",2,36,2
28,"morph",3,60,2
29,"morph",2,40,2
30,"morph",1,32,2
31,"morph",2,30,2
32,"morph",2,25,2
33,"morph",1,25,2
34,"morph",2,20,2
35,"morph",1,25,2
36,"morph",2,35,2
37,"morph",4,40,2
38,"morph",2,35,2
39,"morph",2,32,2
40,"morph",2,25,2
41,"morph",1,25,2
42,"morph",2,40,2
43,"morph",2,1500,2
44,"morph",3,20,2
45,"morph",2,51,2
46,"morph",3,25,2
47,"morph",3,35,2
48,"morph",1,29,2
49,"morph",3,25,2
50,"morph",3,40,2
51,"morph",4,20,2
52,"morph",2,20,2
53,"morph",3,20,2
54,"morph",2,40,2
55,"morph",3,19,2
56,"morph",4,32,2
57,"morph",2,30,2
58,"morph",3,25,2
