"rt","response","position","type","participant"
11678.3000000715,38,2,"morph",1
7046.29999995232,20,1,"many",1
6802.10000002384,30,2,"morph",2
6970.20000004768,30,1,"many",2
7173.89999997616,81,2,"morph",3
10011.3999999762,28,1,"many",3
5437.90000000596,40,2,"morph",4
8141,40,1,"many",4
2090.19999999925,28,2,"morph",5
2258.29999999981,20,1,"many",5
6981,45,2,"morph",6
7507,40,1,"many",6
3751,30,2,"morph",7
5730.79999995232,27,1,"many",7
5253.80000001192,57,2,"morph",8
9757.19999998808,65,1,"many",8
6050,46,2,"morph",9
4150.29999995232,55,1,"many",9
3969.60000002384,35,2,"morph",10
8671.69999992847,30,1,"many",10
3298.79999995232,30,2,"morph",11
4279.5,35,1,"many",11
3046,40,2,"morph",12
2741,30,1,"many",12
5018.70000004768,34,2,"morph",13
2897.90000009537,30,1,"many",13
3497.09999990463,50,2,"morph",14
5269.19999992847,45,1,"many",14
7444.69999999925,46,2,"morph",15
13733.4000000022,52,1,"many",15
2628,45,2,"morph",16
5189,30,1,"many",16
21679.1000000238,27,2,"morph",17
11395.3000000119,24,1,"many",17
4280.19999998808,45,2,"morph",18
13918.3999999762,35,1,"many",18
2931,30,2,"morph",19
8565,25,1,"many",19
2858.79999995232,35,2,"morph",20
6244.39999997616,30,1,"many",20
3953.70000000019,40,2,"morph",21
6489.20000000019,46,1,"many",21
5781.19999992847,50,2,"morph",22
4496.10000002384,40,1,"many",22
2270.89999997616,35,2,"morph",23
5087.5,35,1,"many",23
3194,35,2,"morph",24
4731.60000000009,35,1,"many",24
4252.80000000075,55,2,"morph",25
3764.69999999925,60,1,"many",25
4158.19999992847,35,2,"morph",26
6324.59999990463,40,1,"many",26
3300.70000000298,28,2,"morph",27
11366,30,1,"many",27
6677,22,2,"morph",28
6973,32,1,"many",28
4529.59999990463,96,2,"morph",29
6342.09999990463,60,1,"many",29
3871.69999999925,36,2,"morph",30
8772.59999999963,42,1,"many",30
3528.10000002384,37,2,"morph",31
3493.39999997616,32,1,"many",31
1819.59999999404,30,2,"morph",32
3457.79999998212,30,1,"many",32
2477.60000002384,45,2,"morph",33
4700.19999992847,45,1,"many",33
3437.20000004768,35,2,"morph",34
4798.19999992847,25,1,"many",34
5472.90000009537,40,2,"morph",35
5930,30,1,"many",35
5225.89999999851,30,2,"morph",36
5274.69999999925,25,1,"many",36
10102.799999997,28,2,"morph",37
6149.5,50,1,"many",37
2586,25,2,"morph",38
6193,20,1,"many",38
3137,35,2,"morph",39
4940.5,30,1,"many",39
4584.09999999404,61,2,"morph",40
6410.79999999702,41,1,"many",40
5056.60000002384,33,2,"morph",41
7877.80000001192,33,1,"many",41
9809.10000014305,295,2,"morph",42
10671,300,1,"many",42
5205,40,2,"morph",43
3241,35,1,"many",43
8034.29999995232,31,2,"morph",44
11181.2000000477,27,1,"many",44
4461.40000003576,36,2,"morph",45
9766.5,36,1,"many",45
6533.70000004768,60,2,"morph",46
23547.3999999762,110,1,"many",46
2984.69999999995,40,2,"morph",47
5162.80000000005,30,1,"many",47
8548.5,50,2,"morph",48
8447.5,100,1,"many",48
3603.09999999963,75,2,"morph",49
6095.40000000037,60,1,"many",49
6673.69999998808,31,2,"morph",50
7465,24,1,"many",50
13950.2000000477,34,2,"morph",51
14989.3999999762,9,1,"many",51
4859.40000003576,40,2,"morph",52
5786.5,36,1,"many",52
6445.20000004768,55,2,"morph",53
10010,35,1,"many",53
3200.60000002384,36,2,"morph",54
10344.5,60,1,"many",54
5343.30000001192,35,2,"morph",55
7960.19999998808,60,1,"many",55
3605.5,30,2,"morph",56
8510.20000004768,40,1,"many",56
10721.2999999523,32,2,"morph",57
9816.70000004768,24,1,"many",57
3438,30,2,"morph",58
4738,35,1,"many",58
7856.5,50,2,"morph",59
5706.59999990463,50,1,"many",59
6263.20000000112,36,2,"morph",60
9476.89999999944,24,1,"many",60
